P_c,T_c
1.3141490878581409e-6,280.2231717627301
1.3170256035259046e-6,280.2582921438942
1.3199084155435019e-6,280.29342132845886
1.3227975376928862e-6,280.32855932180087
1.3256929837861867e-6,280.36370612502355
1.328594767665762e-6,280.39886174364966
1.331502903204274e-6,280.4340261789615
1.3344174043047408e-6,280.4691994359943
1.3373382849006216e-6,280.5043815168351
1.340265558955874e-6,280.5395724254137
1.3431992404650127e-6,280.5747721651298
1.346139343453193e-6,280.60998073851215
1.3490858819762695e-6,280.64519815026694
1.3520388701208556e-6,280.68042440191897
1.3549983220044065e-6,280.7156594988875
1.357964251775276e-6,280.75090344228886
1.3609366736127897e-6,280.7861562376625
1.3639156017273022e-6,280.82141788630224
1.3669010503602808e-6,280.85668839328895
1.3698930337843659e-6,280.8919677606651
1.37289156630343e-6,280.92725599248894
1.3758966622526644e-6,280.9625530920367
1.378908335998638e-6,280.99785906201043
1.381926601939358e-6,281.0331739069842
1.384951474504355e-6,281.0684976286267
1.3879829681547425e-6,281.1038302322867
1.3910210973832895e-6,281.13917171913687
1.39406587671448e-6,281.17452209475965
1.397117320704598e-6,281.20988136036584
1.400175443941791e-6,281.2452495212443
1.4032402610461281e-6,281.2806265791641
1.4063117866696896e-6,281.3160125386077
1.409390035496627e-6,281.35140740239376
1.4124750222432251e-6,281.38681117374284
1.4155667616579895e-6,281.42222385677803
1.4186652685217057e-6,281.4576454535685
1.4217705576475157e-6,281.49307596919795
1.4248826438809765e-6,281.5285154050298
1.4280015421001494e-6,281.56396376661456
1.4311272672156616e-6,281.5994210550972
1.4342598341707698e-6,281.6348872760154
1.4373992579414478e-6,281.6703624307679
1.4405455535364473e-6,281.7058465244137
1.4436987359973754e-6,281.74133955906507
1.4468588203987547e-6,281.77684153884906
1.4500258218481128e-6,281.8123524669924
1.453199755486046e-6,281.8478723463872
1.4563806364862825e-6,281.8834011814665
1.459568480055773e-6,281.91893897412007
1.462763301434755e-6,281.9544857295816
1.465965115896815e-6,281.9900414491662
1.469173938748981e-6,282.02560613847214
1.4723897853317836e-6,282.0611797986703
1.4756126710193346e-6,282.0967624352995
1.4788426112193892e-6,282.13235404980344
1.4820796213734368e-6,282.16795464725124
1.4853237169567672e-6,282.2035642297636
1.488574913478534e-6,282.23918280154135
1.4918332264818477e-6,282.2748103657447
1.4950986715438414e-6,282.31044692541053
1.4983712642757347e-6,282.3460924848546
1.5016510203229279e-6,282.38174704612595
1.5049379553650643e-6,282.41741061435755
1.508232085116111e-6,282.45308319098166
1.5115334253244213e-6,282.48876478156404
1.5148419917728302e-6,282.5244553872983
1.5181578002787183e-6,282.56015501381097
1.52148086669408e-6,282.5958636624233
1.5248112069056167e-6,282.63158133846224
1.5281488368348045e-6,282.66730804373094
1.5314937724379594e-6,282.70304378290814
1.5348460297063343e-6,282.73878855862233
1.538205624666181e-6,282.77454237456664
1.5415725733788346e-6,282.81030523444184
1.5449468919407768e-6,282.84607714088196
1.5483285964837323e-6,282.88185809856554
1.551717703174736e-6,282.9176481093258
1.555114228216201e-6,282.9534471784814
1.5585181878460154e-6,282.9892553073965
1.5619295983376096e-6,283.02507250170413
1.5653484760000254e-6,283.06089876261984
1.5687748371780125e-6,283.0967340957757
1.5722086982520943e-6,283.13257850254877
1.5756500756386523e-6,283.16843198826564
1.5790989857899921e-6,283.20429455476335
1.5825554451944408e-6,283.24016620676986
1.5860194703764166e-6,283.27604694687096
1.5894910778964979e-6,283.3119367789123
1.5929702843515219e-6,283.3478357064541
1.5964571063746547e-6,283.38374373234404
1.5999515606354604e-6,283.4196608610915
1.6034536638400002e-6,283.45558709474335
1.6069634327309002e-6,283.4915224384767
1.610480884087437e-6,283.52746689381627
1.6140060347256055e-6,283.56342046633165
1.6175389014982184e-6,283.5993831572959
1.6210795012949774e-6,283.63535497240616
1.6246278510425435e-6,283.67133591294333
1.6281839677046386e-6,283.7073259844772
1.6317478682821157e-6,283.7433251885472
1.635319569813031e-6,283.7793335303498
1.6388990893727445e-6,283.81535101192355
1.6424864440739895e-6,283.8513776378563
1.6460816510669597e-6,283.88741341091645
1.6496847275393788e-6,283.92345833485683
