9.000000000000000000e+01 2.399999999999999911e+00 6.780100000000000016e+00 1.158514367555334275e+02
9.000000000000000000e+01 2.600000000000000089e+00 6.689400000000000013e+00 1.152410301404166120e+02
9.000000000000000000e+01 2.799999999999999822e+00 6.592200000000000060e+00 1.154681524386142542e+02
9.000000000000000000e+01 3.000000000000000000e+00 6.513300000000000090e+00 1.152043773280871903e+02
9.000000000000000000e+01 3.200000000000000178e+00 6.341000000000000192e+00 1.156944657525633744e+02
9.000000000000000000e+01 3.400000000000000355e+00 6.317899999999999849e+00 1.150958076011174427e+02
9.000000000000000000e+01 3.600000000000000089e+00 6.217500000000000249e+00 1.148839576029380964e+02
1.000000000000000000e+02 2.399999999999999911e+00 6.837600000000000122e+00 1.206305097554075445e+02
1.000000000000000000e+02 2.600000000000000089e+00 6.711500000000000021e+00 1.209291108028956501e+02
1.000000000000000000e+02 2.799999999999999822e+00 6.557400000000000340e+00 1.209919133985609960e+02
1.000000000000000000e+02 3.000000000000000000e+00 6.463000000000000078e+00 1.205687997731404693e+02
1.000000000000000000e+02 3.200000000000000178e+00 6.526099999999999568e+00 1.202222785822553988e+02
1.000000000000000000e+02 3.400000000000000355e+00 6.419100000000000250e+00 1.198374827749398384e+02
1.000000000000000000e+02 3.600000000000000089e+00 6.322300000000000253e+00 1.194568931882221392e+02
1.500000000000000000e+02 2.399999999999999911e+00 7.523699999999999832e+00 1.613334147130031511e+02
1.500000000000000000e+02 2.600000000000000089e+00 7.388600000000000279e+00 1.605329391571512190e+02
1.500000000000000000e+02 2.799999999999999822e+00 7.211599999999999788e+00 1.609675140339816153e+02
1.500000000000000000e+02 3.000000000000000000e+00 7.245400000000000063e+00 1.587260380682310483e+02
1.500000000000000000e+02 3.200000000000000178e+00 7.148299999999999876e+00 1.579988599434830974e+02
1.500000000000000000e+02 3.400000000000000355e+00 7.094199999999999839e+00 1.571377539068063811e+02
1.500000000000000000e+02 3.600000000000000089e+00 6.876100000000000101e+00 1.570054258420709630e+02
2.000000000000000000e+02 2.399999999999999911e+00 8.001599999999999824e+00 2.103963846101258923e+02
2.000000000000000000e+02 2.600000000000000089e+00 7.916999999999999815e+00 2.104825796128001514e+02
2.000000000000000000e+02 2.799999999999999822e+00 7.771300000000000097e+00 2.100743989839322694e+02
2.000000000000000000e+02 3.000000000000000000e+00 7.691200000000000259e+00 2.108351029335976250e+02
2.000000000000000000e+02 3.200000000000000178e+00 7.526900000000000368e+00 2.099214268222415285e+02
2.000000000000000000e+02 3.400000000000000355e+00 7.464199999999999946e+00 2.104122519169924033e+02
2.000000000000000000e+02 3.600000000000000089e+00 7.164399999999999658e+00 2.105045569078708922e+02
2.500000000000000000e+02 2.399999999999999911e+00 8.562300000000000466e+00 2.540779571626836173e+02
2.500000000000000000e+02 2.600000000000000089e+00 8.420999999999999375e+00 2.545613074860505094e+02
2.500000000000000000e+02 2.799999999999999822e+00 8.300499999999999545e+00 2.523745454424220611e+02
2.500000000000000000e+02 3.000000000000000000e+00 8.144399999999999196e+00 2.524847358445041436e+02
2.500000000000000000e+02 3.200000000000000178e+00 8.021000000000000796e+00 2.523515254023985221e+02
2.500000000000000000e+02 3.400000000000000355e+00 7.907600000000000406e+00 2.528753693186041573e+02
2.500000000000000000e+02 3.600000000000000089e+00 7.819700000000000095e+00 2.516553196310064777e+02
3.000000000000000000e+02 2.399999999999999911e+00 8.939000000000000057e+00 3.092559788738622046e+02
3.000000000000000000e+02 2.600000000000000089e+00 8.822200000000000486e+00 3.099132611320931687e+02
3.000000000000000000e+02 2.799999999999999822e+00 8.692299999999999471e+00 3.093320900212951869e+02
3.000000000000000000e+02 3.000000000000000000e+00 8.571899999999999409e+00 3.093365696013733555e+02
3.000000000000000000e+02 3.200000000000000178e+00 8.467700000000000671e+00 3.093177070907469215e+02
3.000000000000000000e+02 3.400000000000000355e+00 8.317299999999999471e+00 3.092529678253623615e+02
3.000000000000000000e+02 3.600000000000000089e+00 8.180799999999999628e+00 3.074404594950174214e+02
3.500000000000000000e+02 2.399999999999999911e+00 9.219200000000000728e+00 3.555738410959564817e+02
3.500000000000000000e+02 2.600000000000000089e+00 9.173999999999999488e+00 3.578251934447278586e+02
3.500000000000000000e+02 2.799999999999999822e+00 9.028100000000000236e+00 3.597219359088302895e+02
3.500000000000000000e+02 3.000000000000000000e+00 8.901500000000000412e+00 3.603113449663820234e+02
3.500000000000000000e+02 3.200000000000000178e+00 8.779899999999999594e+00 3.593537561974173968e+02
3.500000000000000000e+02 3.400000000000000355e+00 8.651600000000000179e+00 3.590118681069546938e+02
3.500000000000000000e+02 3.600000000000000089e+00 8.524900000000000588e+00 3.591631741286794295e+02
4.000000000000000000e+02 2.399999999999999911e+00 9.531100000000000350e+00 4.076440034410285875e+02
4.000000000000000000e+02 2.600000000000000089e+00 9.413500000000000867e+00 4.091774923581502321e+02
4.000000000000000000e+02 2.799999999999999822e+00 9.298199999999999577e+00 4.088075002973569099e+02
4.000000000000000000e+02 3.000000000000000000e+00 9.173199999999999577e+00 4.079368525846097668e+02
4.000000000000000000e+02 3.200000000000000178e+00 9.046699999999999520e+00 4.070394743562035842e+02
4.000000000000000000e+02 3.400000000000000355e+00 8.894500000000000739e+00 4.023812597095037518e+02
4.000000000000000000e+02 3.600000000000000089e+00 8.767599999999999838e+00 4.010795741959942688e+02
4.500000000000000000e+02 2.399999999999999911e+00 9.749900000000000233e+00 4.536254182162750794e+02
4.500000000000000000e+02 2.600000000000000089e+00 9.637800000000000367e+00 4.533635054817066248e+02
4.500000000000000000e+02 2.799999999999999822e+00 9.517200000000000770e+00 4.528075520079726175e+02
4.500000000000000000e+02 3.000000000000000000e+00 9.378399999999999181e+00 4.523256074305890593e+02
4.500000000000000000e+02 3.200000000000000178e+00 9.258699999999999264e+00 4.511480448937380174e+02
4.500000000000000000e+02 3.400000000000000355e+00 9.124499999999999389e+00 4.500261124350343493e+02
4.500000000000000000e+02 3.600000000000000089e+00 9.002299999999999969e+00 4.489464814777491029e+02
