,T_int,logg,lam,f_nu,f_lam,F
24,200.0,2.0,0.515237,3.63578e-31,4.10586072453081e-12,5.254375237651527e-15
25,200.0,2.0,0.5158969999999999,3.72169e-31,4.1921314650032346e-12,5.254375237651527e-15
26,200.0,2.0,0.516558,3.68885e-31,4.144513083329633e-12,5.254375237651527e-15
27,200.0,2.0,0.517219,3.46642e-31,3.884659377568097e-12,5.254375237651527e-15
28,200.0,2.0,0.517881,3.16333e-31,3.535942931981778e-12,5.254375237651527e-15
29,200.0,2.0,0.518544,3.17505e-31,3.539973776428519e-12,5.254375237651527e-15
30,200.0,2.0,0.5192079999999999,3.29839e-31,3.668089781335214e-12,5.254375237651527e-15
31,200.0,2.0,0.5198729999999999,3.49973e-31,3.882046365039604e-12,5.254375237651527e-15
32,200.0,2.0,0.520539,3.4932399999999997e-31,3.8649384365685565e-12,5.254375237651527e-15
33,200.0,2.0,0.5212049999999999,3.58845e-31,3.960139235204765e-12,5.254375237651527e-15
34,200.0,2.0,0.521873,3.6776400000000004e-31,4.048184152413933e-12,5.254375237651527e-15
35,200.0,2.0,0.522541,3.69444e-31,4.056286074542394e-12,5.254375237651527e-15
36,200.0,2.0,0.5232099999999998,3.61928e-31,3.9636090733561225e-12,5.254375237651527e-15
37,200.0,2.0,0.5238799999999999,3.5527200000000002e-31,3.880771266597013e-12,5.254375237651527e-15
38,200.0,2.0,0.5245509999999999,3.58828e-31,3.909593363466721e-12,5.254375237651527e-15
39,200.0,2.0,0.525223,3.6356200000000004e-31,3.951042623282793e-12,5.254375237651527e-15
40,200.0,2.0,0.525895,3.77927e-31,4.096665830384796e-12,5.254375237651527e-15
41,200.0,2.0,0.526569,3.8448200000000005e-31,4.157058534603727e-12,5.254375237651527e-15
42,200.0,2.0,0.527243,3.96736e-31,4.2785899654170026e-12,5.254375237651527e-15
43,200.0,2.0,0.527918,3.98582e-31,4.2875129506634056e-12,5.254375237651527e-15
44,200.0,2.0,0.528594,4.00133e-31,4.293194998664727e-12,5.254375237651527e-15
45,200.0,2.0,0.5292709999999999,3.99699e-31,4.2775743546808955e-12,5.254375237651527e-15
46,200.0,2.0,0.529948,3.94555e-31,4.211741803067054e-12,5.254375237651527e-15
47,200.0,2.0,0.5306269999999998,3.88805e-31,4.13974752535349e-12,5.254375237651527e-15
48,200.0,2.0,0.531306,3.8479899999999998e-31,4.086628852403056e-12,5.254375237651527e-15
49,200.0,2.0,0.531987,3.57427e-31,3.786221519135626e-12,5.254375237651527e-15
50,200.0,2.0,0.5326679999999999,3.16544e-31,3.3445798906568304e-12,5.254375237651527e-15
51,200.0,2.0,0.53335,3.1142700000000002e-31,3.2821042104304736e-12,5.254375237651527e-15
52,200.0,2.0,0.5340329999999999,3.32481e-31,3.4950335238093385e-12,5.254375237651527e-15
53,200.0,2.0,0.534717,3.6102900000000005e-31,3.78542641276567e-12,5.254375237651527e-15
54,200.0,2.0,0.535401,3.50935e-31,3.670194085545064e-12,5.254375237651527e-15
55,200.0,2.0,0.536087,3.4012700000000003e-31,3.548062487004996e-12,5.254375237651527e-15
56,200.0,2.0,0.5367729999999998,3.30418e-31,3.4379778646328867e-12,5.254375237651527e-15
57,200.0,2.0,0.5374609999999999,3.19078e-31,3.3114915595771878e-12,5.254375237651527e-15
58,200.0,2.0,0.5381489999999999,3.0315400000000004e-31,3.1381878070798864e-12,5.254375237651527e-15
59,200.0,2.0,0.538838,2.79833e-31,2.8893702735209954e-12,5.254375237651527e-15
60,200.0,2.0,0.539528,2.61444e-31,2.692597299125946e-12,5.254375237651527e-15
61,200.0,2.0,0.540219,2.44969e-31,2.5164721185186167e-12,5.254375237651527e-15
62,200.0,2.0,0.540911,2.34981e-31,2.407696956970814e-12,5.254375237651527e-15
63,200.0,2.0,0.541603,2.23715e-31,2.286407756094279e-12,5.254375237651527e-15
64,200.0,2.0,0.542297,2.17779e-31,2.220047661983618e-12,5.254375237651527e-15
65,200.0,2.0,0.542991,2.19088e-31,2.2276862855507477e-12,5.254375237651527e-15
66,200.0,2.0,0.5436859999999999,2.25989e-31,2.29198464271519e-12,5.254375237651527e-15
67,200.0,2.0,0.544383,2.35323e-31,2.380542668306198e-12,5.254375237651527e-15
68,200.0,2.0,0.5450799999999999,2.59987e-31,2.6233234481491843e-12,5.254375237651527e-15
69,200.0,2.0,0.5457779999999999,2.4373900000000003e-31,2.4530911003212937e-12,5.254375237651527e-15
70,200.0,2.0,0.5464759999999999,2.66138e-31,2.6716859395478185e-12,5.254375237651527e-15
71,200.0,2.0,0.5471759999999999,2.72834e-31,2.731901977888012e-12,5.254375237651527e-15
72,200.0,2.0,0.547877,3.1241200000000003e-31,3.1201988466606926e-12,5.254375237651527e-15
73,200.0,2.0,0.5485779999999999,2.88805e-31,2.8770581322450965e-12,5.254375237651527e-15
74,200.0,2.0,0.549281,2.6044400000000003e-31,2.5878905590684167e-12,5.254375237651527e-15
75,200.0,2.0,0.549984,2.44637e-31,2.424614704382003e-12,5.254375237651527e-15
76,200.0,2.0,0.550688,2.64283e-31,2.6126347870884993e-12,5.254375237651527e-15
77,200.0,2.0,0.5513929999999999,2.8507200000000003e-31,2.8109477228868853e-12,5.254375237651527e-15
78,200.0,2.0,0.5520989999999999,2.74967e-31,2.704377769279637e-12,5.254375237651527e-15
79,200.0,2.0,0.5528059999999999,2.4397699999999997e-31,2.3934485350866497e-12,5.254375237651527e-15
80,200.0,2.0,0.553514,2.26967e-31,2.2208856620800234e-12,5.254375237651527e-15
81,200.0,2.0,0.554223,1.90809e-31,1.862303539623034e-12,5.254375237651527e-15
82,200.0,2.0,0.554933,2.0668600000000003e-31,2.0121050920062748e-12,5.254375237651527e-15
83,200.0,2.0,0.5556429999999999,2.31204e-31,2.2450413862368482e-12,5.254375237651527e-15
84,200.0,2.0,0.556355,3.0752300000000003e-31,2.978477438729259e-12,5.254375237651527e-15
85,200.0,2.0,0.557067,3.3513100000000006e-31,3.237579497203774e-12,5.254375237651527e-15
86,200.0,2.0,0.55778,3.4721500000000005e-31,3.3457486071237796e-12,5.254375237651527e-15
87,200.0,2.0,0.558495,3.5663900000000003e-31,3.427764349176169e-12,5.254375237651527e-15
88,200.0,2.0,0.55921,3.7394400000000003e-31,3.5849030421467573e-12,5.254375237651527e-15
89,200.0,2.0,0.5599259999999999,3.8745000000000002e-31,3.704888135719774e-12,5.254375237651527e-15
90,200.0,2.0,0.560643,3.9366699999999997e-31,3.7547143754697634e-12,5.254375237651527e-15
91,200.0,2.0,0.5613609999999999,3.959170000000001e-31,3.766520873838455e-12,5.254375237651527e-15
92,200.0,2.0,0.562079,3.96752e-31,3.7648277245261694e-12,5.254375237651527e-15
93,200.0,2.0,0.562799,4.01954e-31,3.804437235148969e-12,5.254375237651527e-15
94,200.0,2.0,0.56352,4.08662e-31,3.858036130296588e-12,5.254375237651527e-15
95,200.0,2.0,0.564241,4.15781e-31,3.915219015448898e-12,5.254375237651527e-15
96,200.0,2.0,0.564964,4.0885900000000005e-31,3.840190022108022e-12,5.254375237651527e-15
97,200.0,2.0,0.5656869999999999,3.86561e-31,3.6214820943767305e-12,5.254375237651527e-15
