,T_int,logg,lam,f_nu
0,90.0,2.4,0.499654,0.00014063
1,90.0,2.4,0.500294,0.000140784
2,90.0,2.4,0.500935,0.000141061
3,90.0,2.4,0.501576,0.000141362
4,90.0,2.4,0.502218,0.000141702
5,90.0,2.4,0.502861,0.000142068
6,90.0,2.4,0.503505,0.000142205
7,90.0,2.4,0.50415,0.000142096
8,90.0,2.4,0.504795,0.000141771
9,90.0,2.4,0.505442,0.000141401
10,90.0,2.4,0.506089,0.000140991
11,90.0,2.4,0.506737,0.000140816
12,90.0,2.4,0.507386,0.000141011
13,90.0,2.4,0.508036,0.000141584
14,90.0,2.4,0.508686,0.000142271
15,90.0,2.4,0.509337,0.000142969
16,90.0,2.4,0.50999,0.000143691
17,90.0,2.4,0.510643,0.000144447
18,90.0,2.4,0.511297,0.000145211
19,90.0,2.4,0.511951,0.000146008
20,90.0,2.4,0.512607,0.000146806
21,90.0,2.4,0.513263,0.00014762
22,90.0,2.4,0.51392,0.000148304
23,90.0,2.4,0.514578,0.000148831
24,90.0,2.4,0.515237,0.000149197
25,90.0,2.4,0.515897,0.000149472
26,90.0,2.4,0.516558,0.00014975
27,90.0,2.4,0.517219,0.00014991
28,90.0,2.4,0.517881,0.000148606
29,90.0,2.4,0.518544,0.000148829
30,90.0,2.4,0.519208,0.000148955
31,90.0,2.4,0.519873,0.000150732
32,90.0,2.4,0.520539,0.000151007
33,90.0,2.4,0.521205,0.000151568
34,90.0,2.4,0.521873,0.000152037
35,90.0,2.4,0.522541,0.000152532
36,90.0,2.4,0.52321,0.000153019
37,90.0,2.4,0.52388,0.000153507
38,90.0,2.4,0.524551,0.000153938
39,90.0,2.4,0.525223,0.000154255
40,90.0,2.4,0.525895,0.000154533
41,90.0,2.4,0.526569,0.000154781
42,90.0,2.4,0.527243,0.00015506
43,90.0,2.4,0.527918,0.000155274
44,90.0,2.4,0.528594,0.000155532
45,90.0,2.4,0.529271,0.000155809
46,90.0,2.4,0.529948,0.000156127
47,90.0,2.4,0.530627,0.000156405
48,90.0,2.4,0.531306,0.000156662
49,90.0,2.4,0.531987,0.000155212
50,90.0,2.4,0.532668,0.000151766
51,90.0,2.4,0.53335,0.000151646
52,90.0,2.4,0.534033,0.00015307
53,90.0,2.4,0.534717,0.000156328
54,90.0,2.4,0.535401,0.000156162
55,90.0,2.4,0.536087,0.000156232
56,90.0,2.4,0.536773,0.000156508
57,90.0,2.4,0.537461,0.000157042
58,90.0,2.4,0.538149,0.000157623
59,90.0,2.4,0.538838,0.000158284
60,90.0,2.4,0.539528,0.000158666
61,90.0,2.4,0.540219,0.000158674
62,90.0,2.4,0.540911,0.000158275
63,90.0,2.4,0.541603,0.000157772
64,90.0,2.4,0.542297,0.000157431
65,90.0,2.4,0.542991,0.000157499
66,90.0,2.4,0.543686,0.000158106
67,90.0,2.4,0.544383,0.000159186
68,90.0,2.4,0.54508,0.000160458
69,90.0,2.4,0.545778,0.000161601
70,90.0,2.4,0.546476,0.000162407
71,90.0,2.4,0.547176,0.000163152
72,90.0,2.4,0.547877,0.000163876
73,90.0,2.4,0.548578,0.000164442
74,90.0,2.4,0.549281,0.000164219
75,90.0,2.4,0.549984,0.000163508
76,90.0,2.4,0.550688,0.000163505
77,90.0,2.4,0.551393,0.00016412
78,90.0,2.4,0.552099,0.000163529
79,90.0,2.4,0.552806,0.000161057
80,90.0,2.4,0.553514,0.000160904
81,90.0,2.4,0.554223,0.000159463
82,90.0,2.4,0.554933,0.000162693
83,90.0,2.4,0.555643,0.000163823
84,90.0,2.4,0.556355,0.000167753
85,90.0,2.4,0.557067,0.000168271
86,90.0,2.4,0.55778,0.000168492
87,90.0,2.4,0.558495,0.000168857
88,90.0,2.4,0.55921,0.000169364
89,90.0,2.4,0.559926,0.000169997
90,90.0,2.4,0.560643,0.000170637
91,90.0,2.4,0.561361,0.000171277
92,90.0,2.4,0.562079,0.000171849
93,90.0,2.4,0.562799,0.000172263
94,90.0,2.4,0.56352,0.000172506
95,90.0,2.4,0.564241,0.000172665
96,90.0,2.4,0.564964,0.000172804
97,90.0,2.4,0.565687,0.000172921
98,90.0,2.4,0.566412,0.000173031
99,90.0,2.4,0.567137,0.000173226
100,90.0,2.4,0.567863,0.000173495
101,90.0,2.4,0.56859,0.000173795
102,90.0,2.4,0.569318,0.00017403
103,90.0,2.4,0.570047,0.000174277
104,90.0,2.4,0.570777,0.00017459
105,90.0,2.4,0.571508,0.000174942
106,90.0,2.4,0.57224,0.000175254
107,90.0,2.4,0.572973,0.000175477
108,90.0,2.4,0.573706,0.000175681
109,90.0,2.4,0.574441,0.000175772
110,90.0,2.4,0.575176,0.000175724
111,90.0,2.4,0.575913,0.000175754
112,90.0,2.4,0.57665,0.00017585
113,90.0,2.4,0.577389,0.000176124
114,90.0,2.4,0.578128,0.000176459
115,90.0,2.4,0.578868,0.000176959
116,90.0,2.4,0.57961,0.000177515
117,90.0,2.4,0.580352,0.000178001
118,90.0,2.4,0.581095,0.000178334
119,90.0,2.4,0.581839,0.000178573
120,90.0,2.4,0.582584,0.000179025
121,90.0,2.4,0.58333,0.000179561
122,90.0,2.4,0.584077,0.000180101
123,90.0,2.4,0.584825,0.000180487
124,90.0,2.4,0.585574,0.000180779
125,90.0,2.4,0.586323,0.00018116
126,90.0,2.4,0.587074,0.00018146
127,90.0,2.4,0.587826,0.000181832
128,90.0,2.4,0.588579,0.000182209
129,90.0,2.4,0.589332,0.000182568
130,90.0,2.4,0.590087,0.000182806
131,90.0,2.4,0.590842,0.000182837
132,90.0,2.4,0.591599,0.000182955
133,90.0,2.4,0.592356,0.000183223
134,90.0,2.4,0.593115,0.000183599
135,90.0,2.4,0.593874,0.000183798
136,90.0,2.4,0.594635,0.00018392
137,90.0,2.4,0.595396,0.000184086
138,90.0,2.4,0.596159,0.00018441
139,90.0,2.4,0.596922,0.000184746
