,T_int,logg,lam,f_nu
146,90.0,2.4,0.892804,3.53854e-06
147,90.0,2.4,0.893875,3.62033e-07
148,90.0,2.4,0.894947,3.28794e-07
149,90.0,2.4,0.89602,4.90045e-07
150,90.0,2.4,0.897094,5.24772e-07
151,90.0,2.4,0.89817,4.5926e-07
152,90.0,2.4,0.899247,1.57745e-07
153,90.0,2.4,0.900326,1.79137e-07
154,90.0,2.4,0.901406,4.15619e-07
155,90.0,2.4,0.902487,8.01198e-06
156,90.0,2.4,0.903569,1.50905e-05
157,90.0,2.4,0.904653,1.90212e-05
158,90.0,2.4,0.905737,1.48702e-05
159,90.0,2.4,0.906824,1.8811e-05
160,90.0,2.4,0.907911,5.33058e-05
161,90.0,2.4,0.909,0.000119398
162,90.0,2.4,0.91009,0.000297767
163,90.0,2.4,0.911182,0.000452567
164,90.0,2.4,0.912274,-0.00174699
165,90.0,2.4,0.913368,-0.00186863
166,90.0,2.4,0.914464,-0.00195841
167,90.0,2.4,0.91556,-0.028008
168,90.0,2.4,0.916658,-0.0946247
169,90.0,2.4,0.917758,-0.0943639
170,90.0,2.4,0.918858,-0.0756264
171,90.0,2.4,0.91996,-0.0153337
172,90.0,2.4,0.921063,-0.0169336
173,90.0,2.4,0.922168,-0.00729464
174,90.0,2.4,0.923274,-0.000924288
175,90.0,2.4,0.924381,0.000341605
176,90.0,2.4,0.92549,0.000169844
177,90.0,2.4,0.9266,9.98194e-05
178,90.0,2.4,0.927711,7.42024e-05
179,90.0,2.4,0.928823,0.000300382
180,90.0,2.4,0.929937,0.000299714
181,90.0,2.4,0.931053,0.000314625
182,90.0,2.4,0.932169,0.000271685
183,90.0,2.4,0.933287,-0.000182162
184,90.0,2.4,0.934406,1.72466e-05
185,90.0,2.4,0.935527,-0.000175971
186,90.0,2.4,0.936649,0.00043908
187,90.0,2.4,0.937772,-0.00450602
188,90.0,2.4,0.938897,-0.00928054
189,90.0,2.4,0.940023,-0.0101921
190,90.0,2.4,0.94115,-0.00589671
191,90.0,2.4,0.942279,-0.00191174
192,90.0,2.4,0.943409,-0.0229353
193,90.0,2.4,0.94454,-0.0337328
194,90.0,2.4,0.945673,-0.0764884
195,90.0,2.4,0.946807,-0.0924195
196,90.0,2.4,0.947942,-0.0979134
197,90.0,2.4,0.949079,-0.076104
198,90.0,2.4,0.950217,-0.0984709
199,90.0,2.4,0.951357,-0.127689
200,90.0,2.4,0.952498,-0.18748
201,90.0,2.4,0.95364,-0.237229
202,90.0,2.4,0.954784,-0.256452
203,90.0,2.4,0.955929,-0.324936
204,90.0,2.4,0.957075,-0.328555
205,90.0,2.4,0.958223,-0.264518
206,90.0,2.4,0.959372,-0.114161
207,90.0,2.4,0.960523,-0.0492555
208,90.0,2.4,0.961675,-0.0478256
209,90.0,2.4,0.962828,-0.0481344
210,90.0,2.4,0.963983,0.000659651
211,90.0,2.4,0.965139,0.000661378
212,90.0,2.4,0.966296,0.000664728
213,90.0,2.4,0.967455,0.000402599
214,90.0,2.4,0.968615,0.000126143
215,90.0,2.4,0.969777,9.30924e-05
216,90.0,2.4,0.97094,0.000397847
217,90.0,2.4,0.972104,0.000393464
218,90.0,2.4,0.97327,0.00038505
219,90.0,2.4,0.974437,7.06349e-05
220,90.0,2.4,0.975606,6.54138e-05
221,90.0,2.4,0.976776,5.23254e-05
222,90.0,2.4,0.977947,6.0588e-05
223,90.0,2.4,0.97912,9.64902e-05
224,90.0,2.4,0.980294,0.00010796
225,90.0,2.4,0.98147,7.0377e-05
226,90.0,2.4,0.982647,1.64047e-05
227,90.0,2.4,0.983825,2.34034e-06
228,90.0,2.4,0.985005,1.0908e-06
229,90.0,2.4,0.986186,9.03148e-07
230,90.0,2.4,0.987369,8.60269e-07
231,90.0,2.4,0.988553,1.15849e-06
232,90.0,2.4,0.989739,2.70528e-06
233,90.0,2.4,0.990926,3.05001e-06
234,90.0,2.4,0.992114,2.91975e-06
235,90.0,2.4,0.993304,2.72656e-06
236,90.0,2.4,0.994495,2.35541e-06
237,90.0,2.4,0.995688,1.83388e-06
238,90.0,2.4,0.996882,1.62347e-06
239,90.0,2.4,0.998077,6.45647e-06
240,90.0,2.4,0.999274,1.21106e-05
241,90.0,2.4,1.00047,1.73933e-05
242,90.0,2.4,1.00167,1.80197e-05
243,90.0,2.4,1.00287,1.59717e-05
244,90.0,2.4,1.00408,1.65288e-05
245,90.0,2.4,1.00528,1.36454e-05
246,90.0,2.4,1.00649,1.04932e-05
247,90.0,2.4,1.00769,4.47423e-06
248,90.0,2.4,1.0089,3.259e-06
249,90.0,2.4,1.01011,2.90634e-06
250,90.0,2.4,1.01132,1.89208e-06
251,90.0,2.4,1.01254,4.13577e-07
252,90.0,2.4,1.01375,2.13552e-07
253,90.0,2.4,1.01497,2.2655e-07
254,90.0,2.4,1.01618,1.36192e-06
255,90.0,2.4,1.0174,1.42305e-06
256,90.0,2.4,1.01862,1.4299e-06
257,90.0,2.4,1.01984,3.80418e-07
258,90.0,2.4,1.02107,4.22687e-07
259,90.0,2.4,1.02229,5.18726e-07
260,90.0,2.4,1.02352,4.88074e-07
261,90.0,2.4,1.02474,4.56509e-07
262,90.0,2.4,1.02597,3.86534e-07
263,90.0,2.4,1.0272,3.65569e-07
264,90.0,2.4,1.02844,3.1185e-07
265,90.0,2.4,1.02967,3.16182e-07
266,90.0,2.4,1.0309,3.60092e-07
267,90.0,2.4,1.03214,1.05626e-06
268,90.0,2.4,1.03338,3.38993e-06
269,90.0,2.4,1.03462,6.03222e-06
270,90.0,2.4,1.03586,5.2726e-06
271,90.0,2.4,1.0371,2.85425e-06
272,90.0,2.4,1.03834,6.93989e-07
273,90.0,2.4,1.03959,9.90799e-07
274,90.0,2.4,1.04084,9.97911e-07
275,90.0,2.4,1.04208,5.44036e-07
276,90.0,2.4,1.04333,3.46404e-05
277,90.0,2.4,1.04458,4.41513e-05
278,90.0,2.4,1.04584,5.38006e-05
279,90.0,2.4,1.04709,5.51762e-05
280,90.0,2.4,1.04835,7.13078e-05
281,90.0,2.4,1.0496,6.66225e-05
282,90.0,2.4,1.05086,0.000145409
283,90.0,2.4,1.05212,0.000120081
284,90.0,2.4,1.05339,0.00011546
285,90.0,2.4,1.05465,1.10452e-05
286,90.0,2.4,1.05591,0.000419818
287,90.0,2.4,1.05718,-0.00629127
288,90.0,2.4,1.05845,-0.00626
289,90.0,2.4,1.05972,-0.00666579
290,90.0,2.4,1.06099,4.7883e-05
291,90.0,2.4,1.06226,0.000347802
292,90.0,2.4,1.06353,0.000621963
293,90.0,2.4,1.06481,0.000845104
294,90.0,2.4,1.06609,0.000598471
295,90.0,2.4,1.06737,0.000355566
296,90.0,2.4,1.06865,0.000261503
297,90.0,2.4,1.06993,-0.0048819
298,90.0,2.4,1.07121,-0.00489353
299,90.0,2.4,1.07249,-0.00488743
300,90.0,2.4,1.07378,0.000203958
301,90.0,2.4,1.07507,0.000212857
302,90.0,2.4,1.07636,0.000116329
303,90.0,2.4,1.07765,0.000129911
304,90.0,2.4,1.07894,-0.00699808
305,90.0,2.4,1.08023,-0.0067335
306,90.0,2.4,1.08153,-0.00652028
307,90.0,2.4,1.08283,-0.000182599
308,90.0,2.4,1.08413,-0.00024638
309,90.0,2.4,1.08543,-0.00045469
310,90.0,2.4,1.08673,0.000355739
311,90.0,2.4,1.08803,0.000146065
312,90.0,2.4,1.08934,0.00011976
313,90.0,2.4,1.09064,0.000106417
314,90.0,2.4,1.09195,8.88846e-05
315,90.0,2.4,1.09326,9.45493e-05
316,90.0,2.4,1.09457,6.67268e-05
317,90.0,2.4,1.09588,5.17858e-05
