# T_int  log_g  S  T_eff
1.00000000e+02 2.80000000e+00 5.22970000e+00 1.00000000e+02
1.00000000e+02 3.00000000e+00 5.13580000e+00 1.00000000e+02
1.00000000e+02 3.20000000e+00 5.06260000e+00 1.00000000e+02
1.00000000e+02 3.40000000e+00 4.93700000e+00 1.00000000e+02
1.00000000e+02 3.60000000e+00 4.85660000e+00 1.00000000e+02
1.00000000e+02 3.80000000e+00 4.81880000e+00 1.00000000e+02
1.00000000e+02 4.00000000e+00 4.64980000e+00 1.00000000e+02
1.00000000e+02 4.20000000e+00 4.64420000e+00 1.00000000e+02
1.00000000e+02 4.40000000e+00 4.56820000e+00 1.00000000e+02
1.50000000e+02 2.80000000e+00 5.77100000e+00 1.50000000e+02
1.50000000e+02 3.00000000e+00 5.64870000e+00 1.50000000e+02
1.50000000e+02 3.20000000e+00 5.58800000e+00 1.50000000e+02
1.50000000e+02 3.40000000e+00 5.44350000e+00 1.50000000e+02
1.50000000e+02 3.60000000e+00 5.42720000e+00 1.50000000e+02
1.50000000e+02 3.80000000e+00 5.37750000e+00 1.50000000e+02
1.50000000e+02 4.00000000e+00 5.25950000e+00 1.50000000e+02
1.50000000e+02 4.20000000e+00 5.16170000e+00 1.50000000e+02
1.50000000e+02 4.40000000e+00 5.08750000e+00 1.50000000e+02
2.00000000e+02 2.80000000e+00 6.17100000e+00 2.00000000e+02
2.00000000e+02 3.00000000e+00 6.08470000e+00 2.00000000e+02
2.00000000e+02 3.20000000e+00 6.01720000e+00 2.00000000e+02
2.00000000e+02 3.40000000e+00 5.91670000e+00 2.00000000e+02
2.00000000e+02 3.60000000e+00 5.82770000e+00 2.00000000e+02
2.00000000e+02 3.80000000e+00 5.80340000e+00 2.00000000e+02
2.00000000e+02 4.00000000e+00 5.67940000e+00 2.00000000e+02
2.00000000e+02 4.20000000e+00 5.57120000e+00 2.00000000e+02
2.00000000e+02 4.40000000e+00 5.51180000e+00 2.00000000e+02
2.50000000e+02 2.80000000e+00 6.88050000e+00 2.50000000e+02
2.50000000e+02 3.00000000e+00 6.67300000e+00 2.50000000e+02
2.50000000e+02 3.20000000e+00 6.58930000e+00 2.50000000e+02
2.50000000e+02 3.40000000e+00 6.51960000e+00 2.50000000e+02
2.50000000e+02 3.60000000e+00 6.39530000e+00 2.50000000e+02
2.50000000e+02 3.80000000e+00 6.33630000e+00 2.50000000e+02
2.50000000e+02 4.00000000e+00 6.26050000e+00 2.50000000e+02
2.50000000e+02 4.20000000e+00 6.18380000e+00 2.50000000e+02
