# T_int  log_g  S  T_eff
1.00000000e+02 2.80000000e+00 5.95000000e+00 1.00000000e+02
1.00000000e+02 3.00000000e+00 5.85270000e+00 1.00000000e+02
1.00000000e+02 3.20000000e+00 5.74140000e+00 1.00000000e+02
1.00000000e+02 3.40000000e+00 5.64550000e+00 1.00000000e+02
1.00000000e+02 3.60000000e+00 5.55220000e+00 1.00000000e+02
1.00000000e+02 3.80000000e+00 5.45340000e+00 1.00000000e+02
1.00000000e+02 4.00000000e+00 5.36900000e+00 1.00000000e+02
1.00000000e+02 4.20000000e+00 5.25340000e+00 1.00000000e+02
1.00000000e+02 4.40000000e+00 5.20880000e+00 1.00000000e+02
1.50000000e+02 2.80000000e+00 6.57770000e+00 1.50000000e+02
1.50000000e+02 3.00000000e+00 6.46720000e+00 1.50000000e+02
1.50000000e+02 3.20000000e+00 6.36480000e+00 1.50000000e+02
1.50000000e+02 3.40000000e+00 6.26240000e+00 1.50000000e+02
1.50000000e+02 3.60000000e+00 6.16330000e+00 1.50000000e+02
1.50000000e+02 3.80000000e+00 6.05590000e+00 1.50000000e+02
1.50000000e+02 4.00000000e+00 5.93400000e+00 1.50000000e+02
1.50000000e+02 4.20000000e+00 5.78500000e+00 1.50000000e+02
1.50000000e+02 4.40000000e+00 5.67930000e+00 1.50000000e+02
2.00000000e+02 2.80000000e+00 7.00550000e+00 2.00000000e+02
2.00000000e+02 3.00000000e+00 6.93140000e+00 2.00000000e+02
2.00000000e+02 3.20000000e+00 6.79970000e+00 2.00000000e+02
2.00000000e+02 3.40000000e+00 6.69510000e+00 2.00000000e+02
2.00000000e+02 3.60000000e+00 6.58520000e+00 2.00000000e+02
2.00000000e+02 3.80000000e+00 6.47950000e+00 2.00000000e+02
2.00000000e+02 4.00000000e+00 6.35910000e+00 2.00000000e+02
2.00000000e+02 4.20000000e+00 6.25420000e+00 2.00000000e+02
2.00000000e+02 4.40000000e+00 6.13340000e+00 2.00000000e+02
2.50000000e+02 2.80000000e+00 7.39720000e+00 2.50000000e+02
2.50000000e+02 3.00000000e+00 7.29540000e+00 2.50000000e+02
2.50000000e+02 3.20000000e+00 7.22060000e+00 2.50000000e+02
2.50000000e+02 3.40000000e+00 7.07390000e+00 2.50000000e+02
2.50000000e+02 3.60000000e+00 6.94890000e+00 2.50000000e+02
2.50000000e+02 3.80000000e+00 6.83600000e+00 2.50000000e+02
2.50000000e+02 4.00000000e+00 6.73200000e+00 2.50000000e+02
2.50000000e+02 4.20000000e+00 6.62500000e+00 2.50000000e+02
2.50000000e+02 4.40000000e+00 6.48960000e+00 2.50000000e+02
3.00000000e+02 2.80000000e+00 7.75260000e+00 3.00000000e+02
3.00000000e+02 3.00000000e+00 7.63910000e+00 3.00000000e+02
3.00000000e+02 3.20000000e+00 7.52270000e+00 3.00000000e+02
3.00000000e+02 3.40000000e+00 7.40870000e+00 3.00000000e+02
3.00000000e+02 3.60000000e+00 7.27950000e+00 3.00000000e+02
3.00000000e+02 3.80000000e+00 7.17780000e+00 3.00000000e+02
3.00000000e+02 4.00000000e+00 7.05900000e+00 3.00000000e+02
3.00000000e+02 4.20000000e+00 6.97100000e+00 3.00000000e+02
3.00000000e+02 4.40000000e+00 6.83890000e+00 3.00000000e+02
3.50000000e+02 2.80000000e+00 8.04600000e+00 3.50000000e+02
3.50000000e+02 3.00000000e+00 7.92510000e+00 3.50000000e+02
3.50000000e+02 3.20000000e+00 7.80710000e+00 3.50000000e+02
3.50000000e+02 3.40000000e+00 7.69600000e+00 3.50000000e+02
3.50000000e+02 3.60000000e+00 7.57510000e+00 3.50000000e+02
3.50000000e+02 3.80000000e+00 7.45830000e+00 3.50000000e+02
3.50000000e+02 4.00000000e+00 7.33640000e+00 3.50000000e+02
3.50000000e+02 4.20000000e+00 7.21190000e+00 3.50000000e+02
3.50000000e+02 4.40000000e+00 7.08970000e+00 3.50000000e+02
4.00000000e+02 2.80000000e+00 8.25420000e+00 4.00000000e+02
4.00000000e+02 3.00000000e+00 8.16780000e+00 4.00000000e+02
4.00000000e+02 3.20000000e+00 8.06850000e+00 4.00000000e+02
4.00000000e+02 3.40000000e+00 7.92790000e+00 4.00000000e+02
4.00000000e+02 3.60000000e+00 7.81040000e+00 4.00000000e+02
4.00000000e+02 3.80000000e+00 7.68780000e+00 4.00000000e+02
4.00000000e+02 4.00000000e+00 7.52690000e+00 4.00000000e+02
4.00000000e+02 4.20000000e+00 7.43870000e+00 4.00000000e+02
4.00000000e+02 4.40000000e+00 7.31100000e+00 4.00000000e+02
4.50000000e+02 2.80000000e+00 8.39030000e+00 4.50000000e+02
4.50000000e+02 3.00000000e+00 8.26220000e+00 4.50000000e+02
4.50000000e+02 3.20000000e+00 8.15310000e+00 4.50000000e+02
4.50000000e+02 3.40000000e+00 8.03960000e+00 4.50000000e+02
4.50000000e+02 3.60000000e+00 7.92030000e+00 4.50000000e+02
4.50000000e+02 3.80000000e+00 7.80440000e+00 4.50000000e+02
4.50000000e+02 4.00000000e+00 7.68490000e+00 4.50000000e+02
4.50000000e+02 4.20000000e+00 7.62510000e+00 4.50000000e+02
4.50000000e+02 4.40000000e+00 7.50050000e+00 4.50000000e+02
5.00000000e+02 2.80000000e+00 8.49880000e+00 5.00000000e+02
5.00000000e+02 3.00000000e+00 8.37520000e+00 5.00000000e+02
5.00000000e+02 3.20000000e+00 8.25380000e+00 5.00000000e+02
5.00000000e+02 3.40000000e+00 8.14630000e+00 5.00000000e+02
5.00000000e+02 3.60000000e+00 8.02830000e+00 5.00000000e+02
5.00000000e+02 3.80000000e+00 7.91190000e+00 5.00000000e+02
5.00000000e+02 4.00000000e+00 7.79660000e+00 5.00000000e+02
5.00000000e+02 4.20000000e+00 7.68220000e+00 5.00000000e+02
5.00000000e+02 4.40000000e+00 7.55540000e+00 5.00000000e+02
6.00000000e+02 2.80000000e+00 8.68080000e+00 6.00000000e+02
6.00000000e+02 3.00000000e+00 8.56290000e+00 6.00000000e+02
6.00000000e+02 3.20000000e+00 8.44230000e+00 6.00000000e+02
6.00000000e+02 3.40000000e+00 8.33310000e+00 6.00000000e+02
6.00000000e+02 3.60000000e+00 8.21590000e+00 6.00000000e+02
6.00000000e+02 3.80000000e+00 8.09700000e+00 6.00000000e+02
6.00000000e+02 4.00000000e+00 7.98650000e+00 6.00000000e+02
6.00000000e+02 4.20000000e+00 7.87160000e+00 6.00000000e+02
