# T_int  log_g  S  T_eff
6.00000000e+02 4.20000000e+00 7.82130000e+00 6.00000000e+02
6.00000000e+02 4.40000000e+00 7.71180000e+00 6.00000000e+02
7.00000000e+02 2.80000000e+00 8.80210000e+00 7.00000000e+02
7.00000000e+02 3.00000000e+00 8.68350000e+00 7.00000000e+02
7.00000000e+02 3.20000000e+00 8.56280000e+00 7.00000000e+02
7.00000000e+02 3.40000000e+00 8.43810000e+00 7.00000000e+02
7.00000000e+02 3.60000000e+00 8.33630000e+00 7.00000000e+02
7.00000000e+02 3.80000000e+00 8.22810000e+00 7.00000000e+02
7.00000000e+02 4.00000000e+00 8.10220000e+00 7.00000000e+02
7.00000000e+02 4.20000000e+00 7.98650000e+00 7.00000000e+02
7.00000000e+02 4.40000000e+00 7.86790000e+00 7.00000000e+02
8.00000000e+02 2.80000000e+00 8.96340000e+00 8.00000000e+02
8.00000000e+02 3.00000000e+00 8.86040000e+00 8.00000000e+02
8.00000000e+02 3.20000000e+00 8.72450000e+00 8.00000000e+02
8.00000000e+02 3.40000000e+00 8.61780000e+00 8.00000000e+02
8.00000000e+02 3.60000000e+00 8.47430000e+00 8.00000000e+02
8.00000000e+02 3.80000000e+00 8.36420000e+00 8.00000000e+02
8.00000000e+02 4.00000000e+00 8.24990000e+00 8.00000000e+02
8.00000000e+02 4.20000000e+00 8.13140000e+00 8.00000000e+02
8.00000000e+02 4.40000000e+00 8.01680000e+00 8.00000000e+02
9.00000000e+02 2.80000000e+00 9.09730000e+00 9.00000000e+02
9.00000000e+02 3.00000000e+00 8.99240000e+00 9.00000000e+02
9.00000000e+02 3.20000000e+00 8.87390000e+00 9.00000000e+02
9.00000000e+02 3.40000000e+00 8.77040000e+00 9.00000000e+02
9.00000000e+02 3.60000000e+00 8.64690000e+00 9.00000000e+02
9.00000000e+02 3.80000000e+00 8.51320000e+00 9.00000000e+02
9.00000000e+02 4.00000000e+00 8.40070000e+00 9.00000000e+02
9.00000000e+02 4.20000000e+00 8.27800000e+00 9.00000000e+02
9.00000000e+02 4.40000000e+00 8.15940000e+00 9.00000000e+02
1.00000000e+03 2.80000000e+00 9.27290000e+00 1.00000000e+03
1.00000000e+03 3.00000000e+00 9.14990000e+00 1.00000000e+03
1.00000000e+03 3.20000000e+00 9.02790000e+00 1.00000000e+03
