# T_int  log_g  S  T_eff
1.00000000e+02 2.80000000e+00 5.76150000e+00 1.00000000e+02
1.00000000e+02 3.00000000e+00 5.69400000e+00 1.00000000e+02
1.00000000e+02 3.20000000e+00 5.57620000e+00 1.00000000e+02
1.00000000e+02 3.40000000e+00 5.47620000e+00 1.00000000e+02
1.00000000e+02 3.60000000e+00 5.37660000e+00 1.00000000e+02
1.00000000e+02 3.80000000e+00 5.29650000e+00 1.00000000e+02
1.00000000e+02 4.00000000e+00 5.22400000e+00 1.00000000e+02
1.00000000e+02 4.20000000e+00 5.15470000e+00 1.00000000e+02
1.00000000e+02 4.40000000e+00 5.03440000e+00 1.00000000e+02
1.50000000e+02 2.80000000e+00 6.37130000e+00 1.50000000e+02
1.50000000e+02 3.00000000e+00 6.27440000e+00 1.50000000e+02
1.50000000e+02 3.20000000e+00 6.19210000e+00 1.50000000e+02
1.50000000e+02 3.40000000e+00 6.09850000e+00 1.50000000e+02
1.50000000e+02 3.60000000e+00 5.98100000e+00 1.50000000e+02
1.50000000e+02 3.80000000e+00 5.89110000e+00 1.50000000e+02
1.50000000e+02 4.00000000e+00 5.79900000e+00 1.50000000e+02
1.50000000e+02 4.20000000e+00 5.65530000e+00 1.50000000e+02
1.50000000e+02 4.40000000e+00 5.52370000e+00 1.50000000e+02
2.00000000e+02 2.80000000e+00 6.83970000e+00 2.00000000e+02
2.00000000e+02 3.00000000e+00 6.73470000e+00 2.00000000e+02
2.00000000e+02 3.20000000e+00 6.61250000e+00 2.00000000e+02
2.00000000e+02 3.40000000e+00 6.53340000e+00 2.00000000e+02
2.00000000e+02 3.60000000e+00 6.43060000e+00 2.00000000e+02
2.00000000e+02 3.80000000e+00 6.37160000e+00 2.00000000e+02
2.00000000e+02 4.00000000e+00 6.22870000e+00 2.00000000e+02
2.00000000e+02 4.20000000e+00 6.13800000e+00 2.00000000e+02
2.00000000e+02 4.40000000e+00 6.01680000e+00 2.00000000e+02
2.50000000e+02 2.80000000e+00 7.31020000e+00 2.50000000e+02
2.50000000e+02 3.00000000e+00 7.16270000e+00 2.50000000e+02
2.50000000e+02 3.20000000e+00 7.01890000e+00 2.50000000e+02
2.50000000e+02 3.40000000e+00 6.90110000e+00 2.50000000e+02
2.50000000e+02 3.60000000e+00 6.86710000e+00 2.50000000e+02
2.50000000e+02 3.80000000e+00 6.76980000e+00 2.50000000e+02
2.50000000e+02 4.00000000e+00 6.59170000e+00 2.50000000e+02
2.50000000e+02 4.20000000e+00 6.52440000e+00 2.50000000e+02
2.50000000e+02 4.40000000e+00 6.39620000e+00 2.50000000e+02
3.00000000e+02 2.80000000e+00 7.68800000e+00 3.00000000e+02
3.00000000e+02 3.00000000e+00 7.58070000e+00 3.00000000e+02
3.00000000e+02 3.20000000e+00 7.49970000e+00 3.00000000e+02
3.00000000e+02 3.40000000e+00 7.37210000e+00 3.00000000e+02
3.00000000e+02 3.60000000e+00 7.26940000e+00 3.00000000e+02
3.00000000e+02 3.80000000e+00 7.15930000e+00 3.00000000e+02
3.00000000e+02 4.00000000e+00 7.10730000e+00 3.00000000e+02
3.00000000e+02 4.20000000e+00 6.92440000e+00 3.00000000e+02
3.00000000e+02 4.40000000e+00 6.77790000e+00 3.00000000e+02
3.50000000e+02 2.80000000e+00 7.97790000e+00 3.50000000e+02
3.50000000e+02 3.00000000e+00 7.89230000e+00 3.50000000e+02
3.50000000e+02 3.20000000e+00 7.76870000e+00 3.50000000e+02
3.50000000e+02 3.40000000e+00 7.66120000e+00 3.50000000e+02
3.50000000e+02 3.60000000e+00 7.53280000e+00 3.50000000e+02
3.50000000e+02 3.80000000e+00 7.38910000e+00 3.50000000e+02
3.50000000e+02 4.00000000e+00 7.33930000e+00 3.50000000e+02
3.50000000e+02 4.20000000e+00 7.23940000e+00 3.50000000e+02
3.50000000e+02 4.40000000e+00 7.06410000e+00 3.50000000e+02
4.00000000e+02 2.80000000e+00 8.15780000e+00 4.00000000e+02
4.00000000e+02 3.00000000e+00 8.03820000e+00 4.00000000e+02
4.00000000e+02 3.20000000e+00 7.92740000e+00 4.00000000e+02
4.00000000e+02 3.40000000e+00 7.81760000e+00 4.00000000e+02
4.00000000e+02 3.60000000e+00 7.70600000e+00 4.00000000e+02
4.00000000e+02 3.80000000e+00 7.59240000e+00 4.00000000e+02
4.00000000e+02 4.00000000e+00 7.47670000e+00 4.00000000e+02
4.00000000e+02 4.20000000e+00 7.36060000e+00 4.00000000e+02
4.00000000e+02 4.40000000e+00 7.24230000e+00 4.00000000e+02
4.50000000e+02 2.80000000e+00 8.28290000e+00 4.50000000e+02
4.50000000e+02 3.00000000e+00 8.15300000e+00 4.50000000e+02
4.50000000e+02 3.20000000e+00 8.04340000e+00 4.50000000e+02
4.50000000e+02 3.40000000e+00 7.92760000e+00 4.50000000e+02
4.50000000e+02 3.60000000e+00 7.82250000e+00 4.50000000e+02
4.50000000e+02 3.80000000e+00 7.70680000e+00 4.50000000e+02
4.50000000e+02 4.00000000e+00 7.59650000e+00 4.50000000e+02
4.50000000e+02 4.20000000e+00 7.48190000e+00 4.50000000e+02
4.50000000e+02 4.40000000e+00 7.36410000e+00 4.50000000e+02
5.00000000e+02 2.80000000e+00 8.38040000e+00 5.00000000e+02
5.00000000e+02 3.00000000e+00 8.25630000e+00 5.00000000e+02
5.00000000e+02 3.20000000e+00 8.14390000e+00 5.00000000e+02
5.00000000e+02 3.40000000e+00 8.03730000e+00 5.00000000e+02
5.00000000e+02 3.60000000e+00 7.92200000e+00 5.00000000e+02
5.00000000e+02 3.80000000e+00 7.80530000e+00 5.00000000e+02
5.00000000e+02 4.00000000e+00 7.69750000e+00 5.00000000e+02
5.00000000e+02 4.20000000e+00 7.58650000e+00 5.00000000e+02
5.00000000e+02 4.40000000e+00 7.47410000e+00 5.00000000e+02
6.00000000e+02 2.80000000e+00 8.56720000e+00 6.00000000e+02
6.00000000e+02 3.00000000e+00 8.45720000e+00 6.00000000e+02
6.00000000e+02 3.20000000e+00 8.33040000e+00 6.00000000e+02
6.00000000e+02 3.40000000e+00 8.21720000e+00 6.00000000e+02
6.00000000e+02 3.60000000e+00 8.10370000e+00 6.00000000e+02
6.00000000e+02 3.80000000e+00 7.98130000e+00 6.00000000e+02
6.00000000e+02 4.00000000e+00 7.87430000e+00 6.00000000e+02
6.00000000e+02 4.20000000e+00 7.77250000e+00 6.00000000e+02
6.00000000e+02 4.40000000e+00 7.65410000e+00 6.00000000e+02
7.00000000e+02 2.80000000e+00 8.75900000e+00 7.00000000e+02
7.00000000e+02 3.00000000e+00 8.63010000e+00 7.00000000e+02
7.00000000e+02 3.20000000e+00 8.49540000e+00 7.00000000e+02
7.00000000e+02 3.40000000e+00 8.38210000e+00 7.00000000e+02
7.00000000e+02 3.60000000e+00 8.26000000e+00 7.00000000e+02
7.00000000e+02 3.80000000e+00 8.15170000e+00 7.00000000e+02
7.00000000e+02 4.00000000e+00 8.03600000e+00 7.00000000e+02
7.00000000e+02 4.20000000e+00 7.91710000e+00 7.00000000e+02
7.00000000e+02 4.40000000e+00 7.80810000e+00 7.00000000e+02
8.00000000e+02 2.80000000e+00 8.91250000e+00 8.00000000e+02
8.00000000e+02 3.00000000e+00 8.78900000e+00 8.00000000e+02
8.00000000e+02 3.20000000e+00 8.65310000e+00 8.00000000e+02
8.00000000e+02 3.40000000e+00 8.53140000e+00 8.00000000e+02
8.00000000e+02 3.60000000e+00 8.41500000e+00 8.00000000e+02
8.00000000e+02 3.80000000e+00 8.29540000e+00 8.00000000e+02
8.00000000e+02 4.00000000e+00 8.18820000e+00 8.00000000e+02
8.00000000e+02 4.20000000e+00 8.06790000e+00 8.00000000e+02
8.00000000e+02 4.40000000e+00 7.95040000e+00 8.00000000e+02
9.00000000e+02 2.80000000e+00 9.06400000e+00 9.00000000e+02
9.00000000e+02 3.00000000e+00 8.93110000e+00 9.00000000e+02
9.00000000e+02 3.20000000e+00 8.82280000e+00 9.00000000e+02
9.00000000e+02 3.40000000e+00 8.69760000e+00 9.00000000e+02
9.00000000e+02 3.60000000e+00 8.56330000e+00 9.00000000e+02
9.00000000e+02 3.80000000e+00 8.44640000e+00 9.00000000e+02
