# T_int  log_g  S  T_eff
1.00000000e+02 2.80000000e+00 6.08690000e+00 1.00000000e+02
1.00000000e+02 3.00000000e+00 6.02070000e+00 1.00000000e+02
1.00000000e+02 3.20000000e+00 5.91330000e+00 1.00000000e+02
1.00000000e+02 3.40000000e+00 5.86210000e+00 1.00000000e+02
1.00000000e+02 3.60000000e+00 5.76500000e+00 1.00000000e+02
1.00000000e+02 3.80000000e+00 5.66280000e+00 1.00000000e+02
1.00000000e+02 4.00000000e+00 5.48450000e+00 1.00000000e+02
1.00000000e+02 4.20000000e+00 5.44390000e+00 1.00000000e+02
1.00000000e+02 4.40000000e+00 5.32320000e+00 1.00000000e+02
1.50000000e+02 2.80000000e+00 6.79870000e+00 1.50000000e+02
1.50000000e+02 3.00000000e+00 6.70400000e+00 1.50000000e+02
1.50000000e+02 3.20000000e+00 6.60610000e+00 1.50000000e+02
1.50000000e+02 3.40000000e+00 6.50180000e+00 1.50000000e+02
1.50000000e+02 3.60000000e+00 6.40700000e+00 1.50000000e+02
1.50000000e+02 3.80000000e+00 6.26560000e+00 1.50000000e+02
1.50000000e+02 4.00000000e+00 6.18250000e+00 1.50000000e+02
1.50000000e+02 4.20000000e+00 6.06420000e+00 1.50000000e+02
1.50000000e+02 4.40000000e+00 5.97340000e+00 1.50000000e+02
2.00000000e+02 2.80000000e+00 7.29120000e+00 2.00000000e+02
2.00000000e+02 3.00000000e+00 7.17840000e+00 2.00000000e+02
2.00000000e+02 3.20000000e+00 7.06250000e+00 2.00000000e+02
2.00000000e+02 3.40000000e+00 6.96260000e+00 2.00000000e+02
2.00000000e+02 3.60000000e+00 6.86950000e+00 2.00000000e+02
2.00000000e+02 3.80000000e+00 6.74650000e+00 2.00000000e+02
2.00000000e+02 4.00000000e+00 6.61730000e+00 2.00000000e+02
2.00000000e+02 4.20000000e+00 6.52490000e+00 2.00000000e+02
2.00000000e+02 4.40000000e+00 6.45070000e+00 2.00000000e+02
2.50000000e+02 2.80000000e+00 7.79350000e+00 2.50000000e+02
2.50000000e+02 3.00000000e+00 7.69400000e+00 2.50000000e+02
2.50000000e+02 3.20000000e+00 7.55680000e+00 2.50000000e+02
2.50000000e+02 3.40000000e+00 7.43020000e+00 2.50000000e+02
2.50000000e+02 3.60000000e+00 7.32620000e+00 2.50000000e+02
2.50000000e+02 3.80000000e+00 7.21560000e+00 2.50000000e+02
2.50000000e+02 4.00000000e+00 7.08110000e+00 2.50000000e+02
2.50000000e+02 4.20000000e+00 6.99240000e+00 2.50000000e+02
2.50000000e+02 4.40000000e+00 6.85140000e+00 2.50000000e+02
3.00000000e+02 2.80000000e+00 8.18950000e+00 3.00000000e+02
3.00000000e+02 3.00000000e+00 8.07810000e+00 3.00000000e+02
3.00000000e+02 3.20000000e+00 7.95050000e+00 3.00000000e+02
3.00000000e+02 3.40000000e+00 7.88100000e+00 3.00000000e+02
3.00000000e+02 3.60000000e+00 7.76630000e+00 3.00000000e+02
3.00000000e+02 3.80000000e+00 7.62300000e+00 3.00000000e+02
3.00000000e+02 4.00000000e+00 7.52380000e+00 3.00000000e+02
3.00000000e+02 4.20000000e+00 7.40280000e+00 3.00000000e+02
3.00000000e+02 4.40000000e+00 7.27860000e+00 3.00000000e+02
3.50000000e+02 2.80000000e+00 8.56090000e+00 3.50000000e+02
3.50000000e+02 3.00000000e+00 8.44390000e+00 3.50000000e+02
