# T_int  log_g  S  T_eff
1.00000000e+02 2.80000000e+00 6.31650000e+00 1.00000000e+02
1.00000000e+02 3.00000000e+00 6.14700000e+00 1.00000000e+02
1.00000000e+02 3.20000000e+00 6.02840000e+00 1.00000000e+02
1.00000000e+02 3.40000000e+00 6.00170000e+00 1.00000000e+02
1.00000000e+02 3.60000000e+00 5.90170000e+00 1.00000000e+02
1.00000000e+02 3.80000000e+00 5.78340000e+00 1.00000000e+02
1.00000000e+02 4.00000000e+00 5.69270000e+00 1.00000000e+02
1.00000000e+02 4.20000000e+00 5.57580000e+00 1.00000000e+02
1.00000000e+02 4.40000000e+00 5.43950000e+00 1.00000000e+02
1.50000000e+02 2.80000000e+00 6.98010000e+00 1.50000000e+02
1.50000000e+02 3.00000000e+00 6.80400000e+00 1.50000000e+02
1.50000000e+02 3.20000000e+00 6.75600000e+00 1.50000000e+02
1.50000000e+02 3.40000000e+00 6.59700000e+00 1.50000000e+02
1.50000000e+02 3.60000000e+00 6.49730000e+00 1.50000000e+02
1.50000000e+02 3.80000000e+00 6.43860000e+00 1.50000000e+02
1.50000000e+02 4.00000000e+00 6.31930000e+00 1.50000000e+02
1.50000000e+02 4.20000000e+00 6.20720000e+00 1.50000000e+02
1.50000000e+02 4.40000000e+00 6.08210000e+00 1.50000000e+02
2.00000000e+02 2.80000000e+00 7.44610000e+00 2.00000000e+02
2.00000000e+02 3.00000000e+00 7.31550000e+00 2.00000000e+02
2.00000000e+02 3.20000000e+00 7.14180000e+00 2.00000000e+02
2.00000000e+02 3.40000000e+00 7.09060000e+00 2.00000000e+02
2.00000000e+02 3.60000000e+00 6.97920000e+00 2.00000000e+02
2.00000000e+02 3.80000000e+00 6.86420000e+00 2.00000000e+02
2.00000000e+02 4.00000000e+00 6.74450000e+00 2.00000000e+02
2.00000000e+02 4.20000000e+00 6.63210000e+00 2.00000000e+02
2.00000000e+02 4.40000000e+00 6.51720000e+00 2.00000000e+02
2.50000000e+02 2.80000000e+00 7.85980000e+00 2.50000000e+02
2.50000000e+02 3.00000000e+00 7.74170000e+00 2.50000000e+02
2.50000000e+02 3.20000000e+00 7.68910000e+00 2.50000000e+02
2.50000000e+02 3.40000000e+00 7.51170000e+00 2.50000000e+02
2.50000000e+02 3.60000000e+00 7.39070000e+00 2.50000000e+02
2.50000000e+02 3.80000000e+00 7.23060000e+00 2.50000000e+02
2.50000000e+02 4.00000000e+00 7.10330000e+00 2.50000000e+02
2.50000000e+02 4.20000000e+00 7.00150000e+00 2.50000000e+02
2.50000000e+02 4.40000000e+00 6.89170000e+00 2.50000000e+02
3.00000000e+02 2.80000000e+00 8.24840000e+00 3.00000000e+02
3.00000000e+02 3.00000000e+00 8.12440000e+00 3.00000000e+02
3.00000000e+02 3.20000000e+00 8.00070000e+00 3.00000000e+02
3.00000000e+02 3.40000000e+00 7.88100000e+00 3.00000000e+02
3.00000000e+02 3.60000000e+00 7.74940000e+00 3.00000000e+02
3.00000000e+02 3.80000000e+00 7.62630000e+00 3.00000000e+02
3.00000000e+02 4.00000000e+00 7.50130000e+00 3.00000000e+02
3.00000000e+02 4.20000000e+00 7.38420000e+00 3.00000000e+02
3.00000000e+02 4.40000000e+00 7.31250000e+00 3.00000000e+02
3.50000000e+02 2.80000000e+00 8.56010000e+00 3.50000000e+02
3.50000000e+02 3.00000000e+00 8.44030000e+00 3.50000000e+02
3.50000000e+02 3.20000000e+00 8.31790000e+00 3.50000000e+02
3.50000000e+02 3.40000000e+00 8.19050000e+00 3.50000000e+02
3.50000000e+02 3.60000000e+00 8.06250000e+00 3.50000000e+02
3.50000000e+02 3.80000000e+00 7.93380000e+00 3.50000000e+02
3.50000000e+02 4.00000000e+00 7.78170000e+00 3.50000000e+02
3.50000000e+02 4.20000000e+00 7.67510000e+00 3.50000000e+02
3.50000000e+02 4.40000000e+00 7.54130000e+00 3.50000000e+02
4.00000000e+02 2.80000000e+00 8.85680000e+00 4.00000000e+02
4.00000000e+02 3.00000000e+00 8.74210000e+00 4.00000000e+02
4.00000000e+02 3.20000000e+00 8.60150000e+00 4.00000000e+02
4.00000000e+02 3.40000000e+00 8.44440000e+00 4.00000000e+02
4.00000000e+02 3.60000000e+00 8.31950000e+00 4.00000000e+02
4.00000000e+02 3.80000000e+00 8.21290000e+00 4.00000000e+02
4.00000000e+02 4.00000000e+00 8.06010000e+00 4.00000000e+02
4.00000000e+02 4.20000000e+00 7.92700000e+00 4.00000000e+02
4.00000000e+02 4.40000000e+00 7.79110000e+00 4.00000000e+02
4.50000000e+02 2.80000000e+00 8.98280000e+00 4.50000000e+02
4.50000000e+02 3.00000000e+00 8.86280000e+00 4.50000000e+02
4.50000000e+02 3.20000000e+00 8.72930000e+00 4.50000000e+02
4.50000000e+02 3.40000000e+00 8.60970000e+00 4.50000000e+02
4.50000000e+02 3.60000000e+00 8.52400000e+00 4.50000000e+02
4.50000000e+02 3.80000000e+00 8.37550000e+00 4.50000000e+02
4.50000000e+02 4.00000000e+00 8.23510000e+00 4.50000000e+02
4.50000000e+02 4.20000000e+00 8.09870000e+00 4.50000000e+02
4.50000000e+02 4.40000000e+00 7.96360000e+00 4.50000000e+02
5.00000000e+02 2.80000000e+00 9.09610000e+00 5.00000000e+02
5.00000000e+02 3.00000000e+00 8.97220000e+00 5.00000000e+02
5.00000000e+02 3.20000000e+00 8.85560000e+00 5.00000000e+02
5.00000000e+02 3.40000000e+00 8.73010000e+00 5.00000000e+02
5.00000000e+02 3.60000000e+00 8.60360000e+00 5.00000000e+02
5.00000000e+02 3.80000000e+00 8.47530000e+00 5.00000000e+02
5.00000000e+02 4.00000000e+00 8.35560000e+00 5.00000000e+02
5.00000000e+02 4.20000000e+00 8.22140000e+00 5.00000000e+02
5.00000000e+02 4.40000000e+00 8.08790000e+00 5.00000000e+02
6.00000000e+02 2.80000000e+00 9.29610000e+00 6.00000000e+02
6.00000000e+02 3.00000000e+00 9.17940000e+00 6.00000000e+02
6.00000000e+02 3.20000000e+00 9.05100000e+00 6.00000000e+02
