# T_int  log_g  S  T_eff
6.00000000e+02 3.40000000e+00 8.92670000e+00 6.00000000e+02
6.00000000e+02 3.60000000e+00 8.80680000e+00 6.00000000e+02
6.00000000e+02 3.80000000e+00 8.68100000e+00 6.00000000e+02
6.00000000e+02 4.00000000e+00 8.55520000e+00 6.00000000e+02
6.00000000e+02 4.20000000e+00 8.42880000e+00 6.00000000e+02
6.00000000e+02 4.40000000e+00 8.30600000e+00 6.00000000e+02
7.00000000e+02 2.80000000e+00 9.48940000e+00 7.00000000e+02
7.00000000e+02 3.00000000e+00 9.35430000e+00 7.00000000e+02
7.00000000e+02 3.20000000e+00 9.23270000e+00 7.00000000e+02
7.00000000e+02 3.40000000e+00 9.09420000e+00 7.00000000e+02
7.00000000e+02 3.60000000e+00 8.97690000e+00 7.00000000e+02
7.00000000e+02 3.80000000e+00 8.85890000e+00 7.00000000e+02
7.00000000e+02 4.00000000e+00 8.73160000e+00 7.00000000e+02
7.00000000e+02 4.20000000e+00 8.61500000e+00 7.00000000e+02
7.00000000e+02 4.40000000e+00 8.48120000e+00 7.00000000e+02
8.00000000e+02 2.80000000e+00 9.65430000e+00 8.00000000e+02
8.00000000e+02 3.00000000e+00 9.51910000e+00 8.00000000e+02
8.00000000e+02 3.20000000e+00 9.38510000e+00 8.00000000e+02
8.00000000e+02 3.40000000e+00 9.26180000e+00 8.00000000e+02
8.00000000e+02 3.60000000e+00 9.13040000e+00 8.00000000e+02
8.00000000e+02 3.80000000e+00 9.00730000e+00 8.00000000e+02
8.00000000e+02 4.00000000e+00 8.88330000e+00 8.00000000e+02
8.00000000e+02 4.20000000e+00 8.76540000e+00 8.00000000e+02
8.00000000e+02 4.40000000e+00 8.64390000e+00 8.00000000e+02
9.00000000e+02 2.80000000e+00 9.83460000e+00 9.00000000e+02
9.00000000e+02 3.00000000e+00 9.68340000e+00 9.00000000e+02
9.00000000e+02 3.20000000e+00 9.58330000e+00 9.00000000e+02
9.00000000e+02 3.40000000e+00 9.42890000e+00 9.00000000e+02
9.00000000e+02 3.60000000e+00 9.29370000e+00 9.00000000e+02
9.00000000e+02 3.80000000e+00 9.16440000e+00 9.00000000e+02
9.00000000e+02 4.00000000e+00 9.04090000e+00 9.00000000e+02
9.00000000e+02 4.20000000e+00 8.91040000e+00 9.00000000e+02
9.00000000e+02 4.40000000e+00 8.78430000e+00 9.00000000e+02
1.00000000e+03 2.80000000e+00 9.96410000e+00 1.00000000e+03
1.00000000e+03 3.00000000e+00 9.84850000e+00 1.00000000e+03
1.00000000e+03 3.20000000e+00 9.72760000e+00 1.00000000e+03
1.00000000e+03 3.40000000e+00 9.59140000e+00 1.00000000e+03
1.00000000e+03 3.60000000e+00 9.44610000e+00 1.00000000e+03
1.00000000e+03 3.80000000e+00 9.31740000e+00 1.00000000e+03
1.00000000e+03 4.00000000e+00 9.19350000e+00 1.00000000e+03
1.00000000e+03 4.20000000e+00 9.04790000e+00 1.00000000e+03
1.00000000e+03 4.40000000e+00 8.93200000e+00 1.00000000e+03
1.10000000e+03 2.80000000e+00 1.01600000e+01 1.10000000e+03
1.10000000e+03 3.00000000e+00 1.00140000e+01 1.10000000e+03
1.10000000e+03 3.20000000e+00 9.86740000e+00 1.10000000e+03
1.10000000e+03 3.40000000e+00 9.73020000e+00 1.10000000e+03
1.10000000e+03 3.60000000e+00 9.59700000e+00 1.10000000e+03
1.10000000e+03 3.80000000e+00 9.45220000e+00 1.10000000e+03
1.10000000e+03 4.00000000e+00 9.32120000e+00 1.10000000e+03
1.10000000e+03 4.20000000e+00 9.19290000e+00 1.10000000e+03
1.10000000e+03 4.40000000e+00 9.06750000e+00 1.10000000e+03
1.20000000e+03 2.80000000e+00 1.03360000e+01 1.20000000e+03
1.20000000e+03 3.00000000e+00 1.01720000e+01 1.20000000e+03
1.20000000e+03 3.20000000e+00 1.00160000e+01 1.20000000e+03
1.20000000e+03 3.40000000e+00 9.87500000e+00 1.20000000e+03
1.20000000e+03 3.60000000e+00 9.73860000e+00 1.20000000e+03
1.20000000e+03 3.80000000e+00 9.59730000e+00 1.20000000e+03
1.20000000e+03 4.00000000e+00 9.46260000e+00 1.20000000e+03
1.20000000e+03 4.20000000e+00 9.32650000e+00 1.20000000e+03
1.20000000e+03 4.40000000e+00 9.19930000e+00 1.20000000e+03
1.30000000e+03 2.80000000e+00 1.04630000e+01 1.30000000e+03
1.30000000e+03 3.00000000e+00 1.03480000e+01 1.30000000e+03
1.30000000e+03 3.20000000e+00 1.01670000e+01 1.30000000e+03
1.30000000e+03 3.40000000e+00 1.00190000e+01 1.30000000e+03
1.30000000e+03 3.60000000e+00 9.88420000e+00 1.30000000e+03
1.30000000e+03 3.80000000e+00 9.74500000e+00 1.30000000e+03
1.30000000e+03 4.00000000e+00 9.60590000e+00 1.30000000e+03
1.30000000e+03 4.20000000e+00 9.47310000e+00 1.30000000e+03
1.30000000e+03 4.40000000e+00 9.33110000e+00 1.30000000e+03
1.40000000e+03 2.80000000e+00 1.07220000e+01 1.40000000e+03
1.40000000e+03 3.00000000e+00 1.05040000e+01 1.40000000e+03
1.40000000e+03 3.20000000e+00 1.03390000e+01 1.40000000e+03
1.40000000e+03 3.40000000e+00 1.01810000e+01 1.40000000e+03
1.40000000e+03 3.60000000e+00 1.00460000e+01 1.40000000e+03
1.40000000e+03 3.80000000e+00 9.89170000e+00 1.40000000e+03
1.40000000e+03 4.00000000e+00 9.74470000e+00 1.40000000e+03
1.40000000e+03 4.20000000e+00 9.60080000e+00 1.40000000e+03
1.40000000e+03 4.40000000e+00 9.45950000e+00 1.40000000e+03
