 1.0    1.00000e+02
      37.7     180.0
      75.4     360.0
     110.0     540.0
     138.7     720.0
     166.1     900.0
     192.6    1080.0
     224.5    1260.0
     258.4    1440.0
     292.4    1620.0
     330.9    1800.0
     370.9    1980.0
     410.8    2160.0
     450.7    2340.0
     490.6    2520.0
     530.5    2700.0
     570.4    2880.0
     627.8    3060.0
     734.9    3240.0
     865.3    3420.0
    1040.4    3600.0
    1259.1    3780.0
    1500.7    3960.0
    1743.0    4140.0
    1881.2    4320.0
    1987.3    4500.0
    2007.8    4680.0
    2016.8    4860.0
    2025.7    5040.0
    2034.6    5220.0
    2043.5    5400.0
    2052.4    5580.0
    2061.3    5760.0
    2070.2    5940.0
    2079.1    6120.0
    2088.0    6300.0
    2096.9    6480.0
    2105.8    6660.0
    2114.7    6840.0
    2123.6    7020.0
    2132.6    7200.0
    2141.5    7380.0
    2150.4    7560.0
    2159.3    7740.0
    2168.2    7920.0
    2177.1    8100.0
    2186.0    8280.0
    2194.9    8460.0
    2202.7    8640.0
    2209.1    8820.0
    2215.5    9000.0
    2221.9    9180.0
    2228.3    9360.0
    2234.7    9540.0
    2241.0    9720.0
    2247.4    9900.0
    2253.8   10080.0
    2260.2   10260.0
    2266.6   10440.0
    2273.0   10620.0
    2279.4   10800.0
    2285.7   10980.0
    2292.1   11160.0
    2298.5   11340.0
    2304.9   11520.0
    2311.3   11700.0
    2317.7   11880.0
    2324.0   12060.0
    2330.4   12240.0
    2336.8   12420.0
    2343.2   12600.0
    2349.6   12780.0
    2356.0   12960.0
    2362.4   13140.0
    2368.7   13320.0
    2375.1   13500.0
    2381.5   13680.0
    2387.9   13860.0
    2394.3   14040.0
    2402.5   14220.0
    2426.5   14400.0
    2450.5   14580.0
    2474.5   14760.0
    2498.5   14940.0
    2522.5   15120.0
    2546.5   15300.0
    2570.5   15480.0
    2594.5   15660.0
    2646.6   15840.0
    2707.1   16020.0
    2767.7   16200.0
    2825.8   16380.0
    2881.1   16560.0
    2936.3   16740.0
    2991.6   16920.0
    3044.8   17100.0
    3097.6   17280.0
    3150.5   17460.0
    3204.0   17640.0
    3268.1   17820.0
    3332.1   18000.0
 1.0    1.08393e+02
      38.8     180.0
      76.5     360.0
     112.1     540.0
     140.8     720.0
     169.3     900.0
     195.8    1080.0
     230.7    1260.0
     264.7    1440.0
     298.6    1620.0
     341.3    1800.0
     381.2    1980.0
     421.1    2160.0
     461.0    2340.0
     501.0    2520.0
     540.9    2700.0
     580.8    2880.0
     645.2    3060.0
     752.3    3240.0
     887.1    3420.0
    1065.1    3600.0
    1284.2    3780.0
    1523.2    3960.0
    1765.4    4140.0
    1897.2    4320.0
    2003.3    4500.0
    2027.7    4680.0
    2036.6    4860.0
    2045.5    5040.0
    2054.4    5220.0
    2063.3    5400.0
    2072.2    5580.0
    2081.1    5760.0
    2090.0    5940.0
    2099.0    6120.0
    2107.9    6300.0
    2116.8    6480.0
    2125.7    6660.0
    2134.6    6840.0
    2143.5    7020.0
    2152.4    7200.0
    2161.3    7380.0
    2170.2    7560.0
    2179.1    7740.0
    2188.0    7920.0
    2196.9    8100.0
    2205.9    8280.0
    2214.8    8460.0
    2222.7    8640.0
    2229.1    8820.0
    2235.5    9000.0
    2241.8    9180.0
    2248.2    9360.0
    2254.6    9540.0
    2261.0    9720.0
    2267.4    9900.0
    2273.8   10080.0
    2280.1   10260.0
    2286.5   10440.0
    2292.9   10620.0
    2299.3   10800.0
    2305.7   10980.0
    2312.1   11160.0
    2318.5   11340.0
    2324.8   11520.0
    2331.2   11700.0
    2337.6   11880.0
    2344.0   12060.0
    2350.4   12240.0
    2356.8   12420.0
    2363.1   12600.0
    2369.5   12780.0
    2375.9   12960.0
    2382.3   13140.0
    2388.7   13320.0
    2395.1   13500.0
    2401.5   13680.0
    2407.8   13860.0
