2.000000000000000000e+02 3.000000000000000000e+00 6.492323881346852659e+02
2.000000000000000000e+02 3.230448921378274107e+00 5.892564244679358580e+02
2.000000000000000000e+02 3.491361693834272639e+00 5.361174043450548652e+02
2.000000000000000000e+02 3.748188027006200240e+00 4.871796271449839537e+02
2.000000000000000000e+02 4.000000000000000000e+00 4.420398832440460524e+02
2.000000000000000000e+02 4.250420002308893608e+00 4.009781016043115187e+02
2.000000000000000000e+02 4.499687082618403444e+00 3.633164049741998838e+02
2.000000000000000000e+02 4.749736315569061063e+00 3.289062830808175590e+02
2.000000000000000000e+02 5.000000000000000000e+00 2.971235496780574863e+02
2.000000000000000000e+02 5.250420002308893608e+00 2.682456716736334670e+02
2.000000000000000000e+02 5.499687082618403444e+00 2.416303258386431594e+02
2.250000000000000000e+02 3.000000000000000000e+00 7.455632252642022877e+02
2.250000000000000000e+02 3.230448921378274107e+00 6.771936081248551318e+02
2.250000000000000000e+02 3.491361693834272639e+00 6.150242246006469031e+02
2.250000000000000000e+02 3.748188027006200240e+00 5.575516807913563753e+02
2.250000000000000000e+02 4.000000000000000000e+00 5.051660286114589553e+02
2.250000000000000000e+02 4.250420002308893608e+00 4.569861537326154348e+02
2.250000000000000000e+02 4.499687082618403444e+00 4.130619273679090497e+02
2.250000000000000000e+02 4.749736315569061063e+00 3.729101688881401628e+02
2.250000000000000000e+02 5.000000000000000000e+00 3.358252109412675850e+02
2.250000000000000000e+02 5.250420002308893608e+00 3.024204413074505169e+02
2.250000000000000000e+02 5.499687082618403444e+00 2.719136214220371812e+02
2.500000000000000000e+02 3.000000000000000000e+00 8.474008501941616487e+02
2.500000000000000000e+02 3.230448921378274107e+00 7.694375795822168129e+02
2.500000000000000000e+02 3.491361693834272639e+00 6.987170199917893569e+02
2.500000000000000000e+02 3.748188027006200240e+00 6.325516613320307897e+02
2.500000000000000000e+02 4.000000000000000000e+00 5.723056717080437465e+02
2.500000000000000000e+02 4.250420002308893608e+00 5.170849689802419107e+02
2.500000000000000000e+02 4.499687082618403444e+00 4.662942894765359370e+02
2.500000000000000000e+02 4.749736315569061063e+00 4.200959498302694897e+02
2.500000000000000000e+02 5.000000000000000000e+00 3.773036859621577719e+02
2.500000000000000000e+02 5.250420002308893608e+00 3.387519987417099969e+02
2.500000000000000000e+02 5.499687082618403444e+00 3.036587432428655120e+02
2.750000000000000000e+02 3.000000000000000000e+00 9.513150812239000516e+02
2.750000000000000000e+02 3.230448921378274107e+00 8.641082090538326383e+02
2.750000000000000000e+02 3.491361693834272639e+00 7.843765718758029379e+02
2.750000000000000000e+02 3.748188027006200240e+00 7.100750357729264124e+02
2.750000000000000000e+02 4.000000000000000000e+00 6.417187346620873996e+02
2.750000000000000000e+02 4.250420002308893608e+00 5.790626412091497741e+02
2.750000000000000000e+02 4.499687082618403444e+00 5.217167554141134360e+02
2.750000000000000000e+02 4.749736315569061063e+00 4.692671717857277258e+02
2.750000000000000000e+02 5.000000000000000000e+00 4.207356067977444809e+02
2.750000000000000000e+02 5.250420002308893608e+00 3.769236600049201229e+02
2.750000000000000000e+02 5.499687082618403444e+00 3.368161185172357932e+02
3.000000000000000000e+02 3.000000000000000000e+00 1.056512524453195738e+03
3.000000000000000000e+02 3.230448921378274107e+00 9.600887606537354486e+02
3.000000000000000000e+02 3.491361693834272639e+00 8.716398606055951177e+02
3.000000000000000000e+02 3.748188027006200240e+00 7.890835981493466988e+02
3.000000000000000000e+02 4.000000000000000000e+00 7.127618235733687015e+02
3.000000000000000000e+02 4.250420002308893608e+00 6.427596257490386051e+02
3.000000000000000000e+02 4.499687082618403444e+00 5.783592732661662694e+02
3.000000000000000000e+02 4.749736315569061063e+00 5.196358609708131553e+02
3.000000000000000000e+02 5.000000000000000000e+00 4.652975795478064924e+02
3.000000000000000000e+02 5.250420002308893608e+00 4.162153991398432140e+02
3.000000000000000000e+02 5.499687082618403444e+00 3.727634783042565232e+02
3.250000000000000000e+02 3.000000000000000000e+00 1.162953205839286966e+03
3.250000000000000000e+02 3.230448921378274107e+00 1.057272550410433496e+03
3.250000000000000000e+02 3.491361693834272639e+00 9.601143598727237531e+02
3.250000000000000000e+02 3.748188027006200240e+00 8.691822816802679199e+02
3.250000000000000000e+02 4.000000000000000000e+00 7.847315704989041478e+02
3.250000000000000000e+02 4.250420002308893608e+00 7.073385462304345310e+02
3.250000000000000000e+02 4.499687082618403444e+00 6.358984750897108142e+02
3.250000000000000000e+02 4.749736315569061063e+00 5.706635370477492870e+02
3.250000000000000000e+02 5.000000000000000000e+00 5.104862622265978871e+02
3.250000000000000000e+02 5.250420002308893608e+00 4.563738482034956974e+02
3.250000000000000000e+02 5.499687082618403444e+00 4.089817456672454341e+02
